episode,ticks,acum_reward,capped_acum_reward,avg_reward,total_ticks
0,106,101.27293980121613,0,0.955405092464303,106
1,141,136.9538471698761,0,0.9713038806374191,248
2,84,74.78504729270935,0,0.8902981820560637,333
3,170,168.76132369041443,0,0.9927136687671437,504
4,95,86.97255051136017,0,0.9155005316985281,600
5,59,52.71564733982086,0,0.893485548132557,660
6,50,43.21511268615723,0,0.8643022537231445,711
7,63,56.25269043445587,0,0.8928998481659662,775
8,68,59.74025595188141,0,0.8785331757629619,844
9,49,37.87785565853119,0,0.7730174624190038,894
10,48,36.84156143665314,0,0.7675325299302737,943
11,47,35.94276976585388,0,0.7647397822522103,991
12,50,38.933401107788086,0,0.7786680221557617,1042
13,78,72.09496259689331,0,0.9242943922678629,1121
14,101,94.11438035964966,0,0.9318255481153431,1223
15,91,83.97634363174438,0,0.9228169629862021,1315
16,233,235.73486363887787,0,1.0117376121840251,1549
17,196,198.6128842830658,0,1.0133310422605397,1746
18,369,393.35013115406036,0,1.0659895153226568,2116
19,249,259.99175202846527,0,1.0441435824436356,2366
20,330,350.02847039699554,0,1.0606923345363501,2697
21,198,203.278874874115,0,1.026660984212702,2896
22,357,378.41148114204407,0,1.0599761376527845,3254
23,236,243.41763424873352,0,1.0314306535963285,3491
24,198,199.31401431560516,0,1.0066364359373998,3690
25,275,290.33718705177307,0,1.0557715892791748,3966
26,266,276.0548754930496,0,1.0378002838084572,4233
27,219,224.35072374343872,0,1.0244325285088527,4453
28,258,265.53745901584625,0,1.0292149574257607,4712
29,305,318.6271197795868,0,1.0446790812445468,5018
30,257,269.2250112295151,0,1.047568137079825,5276
31,222,225.98441529273987,0,1.0179478166339633,5499
32,412,437.6206796169281,0,1.0621861155750683,5912
33,309,322.53314793109894,0,1.0437965952462749,6222
34,375,396.7752285003662,0,1.0580672760009766,6598
35,824,874.0761513710022,0,1.0607720283628668,7423
36,514,541.6937910318375,0,1.0538789708790612,7938
37,259,271.93723726272583,0,1.0499507230221075,8198
38,729,775.1725594997406,0,1.0633368443069144,8928
39,380,397.19229102134705,0,1.045242871108808,9309
40,351,369.4274150133133,0,1.0524997578726873,9661
41,445,469.09084582328796,0,1.054136732187164,10107
42,406,428.0729833841324,0,1.0543669541481093,10514
43,470,497.3746463060379,0,1.058243928310719,10985
44,532,552.3740272521973,0,1.0382970437071377,11518
45,331,346.078156709671,0,1.0455533435337494,11850
46,493,525.5001777410507,0,1.0659232814220096,12344
47,408,429.85534632205963,0,1.0535670252991658,12753
48,298,309.90265452861786,0,1.0399417937201942,13052
49,438,455.41420435905457,0,1.039758457440764,13491
50,535,563.5234754085541,0,1.0533149073057086,14027
51,359,377.5586190223694,0,1.0516953176110568,14387
52,810,856.8459452390671,0,1.0578345002951446,15198
53,492,523.3566017150879,0,1.0637329303152192,15691
54,546,567.2126910686493,0,1.0388510825433137,16238
55,1029,1097.99402654171,0,1.0670495884759086,17268
56,243,243.4124745130539,0,1.0016974259796456,17512
57,721,771.120703458786,0,1.0695155387777893,18234
58,308,324.32946848869324,0,1.0530177548334196,18543
59,437,449.50992798805237,0,1.028626837501264,18981
60,566,597.2401729822159,0,1.055194651912042,19548
61,553,583.7151517868042,0,1.0555427699580546,20102
62,583,613.1200904846191,0,1.0516639630954017,20686
63,726,768.0194951295853,0,1.0578780924649935,21413
64,416,434.860089302063,0,1.045336753129959,21830
65,425,450.01944601535797,0,1.0588692847420187,22256
66,525,559.1877081394196,0,1.0651194440750849,22782
67,622,651.9039593935013,0,1.0480771051342463,23405
68,526,560.3291003704071,0,1.0652644493733976,23932
69,678,723.4160314798355,0,1.066985297167899,24611
70,310,326.4417507648468,0,1.053037905693054,24922
71,629,665.3993908166885,0,1.0578686658452918,25552
72,364,381.657830119133,0,1.0485105223053104,25917
73,241,246.45807766914368,0,1.0226476251831689,26159
74,384,405.30888974666595,0,1.0554919003819425,26544
75,466,491.3377660512924,0,1.0543728885220867,27011
76,377,393.3205907344818,0,1.0432906916034,27389
