episode,ticks,acum_reward,capped_acum_reward,avg_reward,total_ticks
0,76,57.68639598414302,0,0.759031526107145,76
1,19,-7.227685306221247,0,-0.38040448980111824,96
2,21,-3.214431904256344,0,-0.15306818591696875,118
3,17,-11.12232157588005,0,-0.6542542103458854,136
4,20,-2.933909934014082,0,-0.1466954967007041,157
5,21,-1.8469857424497604,0,-0.08795170202141717,179
6,51,31.103952430188656,0,0.6098814201997775,231
7,66,46.35572390630841,0,0.702359453125885,298
8,16,-12.30061848461628,0,-0.7687886552885175,315
9,10,-15.756537567824125,0,-1.5756537567824125,326
10,14,-8.440123599022627,0,-0.6028659713587591,341
11,12,-10.016298558562994,0,-0.8346915465469161,354
12,13,-7.178402811288834,0,-0.5521848316376026,368
13,33,-15.53816768154502,0,-0.47085356610742485,402
14,31,10.455256417393684,0,0.33726633604495754,434
15,17,-4.241732235997915,0,-0.24951366094105384,452
16,40,21.501938991248608,0,0.5375484747812151,493
17,25,4.992867421358824,0,0.19971469685435295,519
18,29,31.83962193503976,0,1.0979179977599918,549
19,28,8.383652206510305,0,0.2994161502325109,578
20,24,3.400077659636736,0,0.141669902484864,603
21,49,30.667343109846115,0,0.6258641450989003,653
22,13,-12.770245738327503,0,-0.9823265952559618,667
23,15,-6.194184269756079,0,-0.4129456179837386,683
24,77,82.42507421970367,0,1.070455509346801,761
25,44,24.019524220377207,0,0.5458982777358456,806
26,11,-19.18894574418664,0,-1.7444496131078764,818
27,18,-24.696906253695488,0,-1.3720503474275272,837
28,72,77.56217045336962,0,1.0772523674079113,910
29,47,23.349796168506145,0,0.49680417379800307,958
30,19,-4.114448633044958,0,-0.2165499280549978,978
31,29,-44.95540337637067,0,-1.5501863233231266,1008
32,60,43.394001606851816,0,0.7232333601141969,1069
33,48,51.75131103023887,0,1.0781523131299764,1118
34,54,29.17382948473096,0,0.5402561015690919,1173
35,38,19.285589426755905,0,0.5075155112304186,1212
36,97,104.0622972510755,0,1.0728071881554175,1310
37,26,2.551197089254856,0,0.09812296497134063,1337
38,29,9.6232037730515,0,0.33183461286384486,1367
39,47,21.01320218667388,0,0.4470894082271038,1415
40,47,27.72140894085169,0,0.5898172115074828,1463
41,62,66.461554415524,0,1.071960555089097,1526
42,49,31.435422744601965,0,0.6415392396857544,1576
43,23,-21.3535771407187,0,-0.9284163974225521,1600
44,103,87.90628973767161,0,0.8534591236667147,1704
45,36,17.453989673405886,0,0.48483304648349684,1741
46,37,18.284389548003674,0,0.4941726904865858,1779
47,28,7.825588192790747,0,0.27948529259966953,1808
48,79,62.81445003300905,0,0.7951196206710006,1888
49,37,18.085919696837664,0,0.488808640455072,1926
50,16,-16.914738032966852,0,-1.0571711270604283,1943
51,23,3.600325223058462,0,0.1565358792634114,1967
52,37,17.996882174164057,0,0.4864022209233529,2005
53,26,6.576556824147701,0,0.2529444932364501,2032
54,31,11.58791734650731,0,0.37380378537120357,2064
55,21,-0.20344670489430428,0,-0.009687938328300203,2086
56,33,13.386003363877535,0,0.4056364655720465,2120
57,41,21.55251259729266,0,0.5256710389583577,2162
58,85,92.02954033389688,0,1.082700474516434,2248
59,51,33.437538001686335,0,0.6556380000330654,2300
60,22,-3.549674566835165,0,-0.16134884394705296,2323
61,25,2.8885043524205685,0,0.11554017409682274,2349
62,7,-18.147062219679356,0,-2.5924374599541937,2357
63,44,23.137514997273684,0,0.5258526135744019,2402
64,70,75.70603810623288,0,1.0815148300890411,2473
65,57,39.68179941922426,0,0.6961719196355134,2531
66,23,-29.0709614045918,0,-1.2639548436779042,2555
67,42,18.33153737336397,0,0.43646517555628506,2598
68,57,61.77512313053012,0,1.0837740900093003,2656
69,55,37.38205273076892,0,0.6796736860139804,2712
70,42,20.892436984926462,0,0.4974389758315824,2755
