episode,ticks,acum_reward,capped_acum_reward,avg_reward,total_ticks
0,70,61.20337200164795,0,0.8743338857378279,70
1,81,71.81562280654907,0,0.8866126272413466,152
2,63,53.10712146759033,0,0.8429701820252433,216
3,224,221.61653649806976,0,0.9893595379378114,441
4,70,63.20137703418732,0,0.9028768147741045,512
5,63,56.438711047172546,0,0.8958525563043261,576
6,111,109.97224080562592,0,0.990740908158792,688
7,80,72.9891893863678,0,0.9123648673295974,769
8,306,314.91200590133667,0,1.02912420229195,1076
9,242,245.20506846904755,0,1.0132440845828412,1319
10,177,173.73810064792633,0,0.9815711901012787,1497
11,370,377.95914006233215,0,1.0215111893576545,1868
12,164,163.23476779460907,0,0.9953339499671284,2033
13,93,86.43102741241455,0,0.9293658861549952,2127
14,213,218.49311995506287,0,1.0257892955636754,2341
15,126,123.63076901435852,0,0.9811965794790358,2468
16,298,312.5840286016464,0,1.0489396932941155,2767
17,187,189.87433218955994,0,1.0153707603719784,2955
18,1048,1072.5557386875153,0,1.0234310483659497,4004
19,216,219.6646909713745,0,1.0169661619045116,4221
20,325,343.48562490940094,0,1.0568788458750797,4547
21,306,314.19705271720886,0,1.0267877539778067,4854
22,767,801.1032193899155,0,1.044463128278899,5622
23,237,242.94169354438782,0,1.0250704368961512,5860
24,194,196.1736557483673,0,1.0112044110740583,6055
25,3000,3102.438186645508,102.43818664550781,1.0341460622151692,9056
26,3000,3095.5079394578934,95.50793945789337,1.0318359798192978,12057
27,259,271.42640221118927,0,1.0479783869157886,12317
28,996,1034.8920105695724,0,1.0390482033831048,13314
29,3000,3157.0429385900497,157.04293859004974,1.0523476461966832,16315
30,354,373.3330971002579,0,1.0546132686447962,16670
31,581,610.3578581809998,0,1.050529876387263,17252
32,310,326.2418383359909,0,1.0523930268902932,17563
33,402,421.71085810661316,0,1.0490319853398338,17966
34,389,413.8139930963516,0,1.0637891853376649,18356
35,892,931.2985506057739,0,1.0440566710827062,19249
36,2028,2120.3586288690567,0,1.0455417302115664,21278
37,1807,1899.0880846977234,0,1.0509618620352648,23086
38,2542,2643.157111644745,0,1.0397943004109933,25629
39,1092,1131.992817401886,0,1.0366234591592363,26722
40,3000,3119.838710308075,119.83871030807495,1.0399462367693584,29723
41,1032,1069.1388309001923,0,1.0359872392443723,30756
42,254,254.60945796966553,0,1.0023994408254548,31011
43,1744,1814.1798423528671,0,1.0402407352940752,32756
44,3000,3119.892974615097,119.89297461509705,1.039964324871699,35757
45,363,378.42015516757965,0,1.0424797663018723,36121
46,463,490.0390681028366,0,1.0583997151249172,36585
47,1916,1999.360683441162,0,1.0435076635914207,38502
