episode,ticks,acum_reward,capped_acum_reward,avg_reward,total_ticks
0,181,180.391703248024,0,0.9966392444642209,181
1,150,143.15535271167755,0,0.9543690180778504,332
2,69,60.352609395980835,0,0.8746754984924758,402
3,152,153.59413409233093,0,1.0104877242916508,555
4,85,82.49539935588837,0,0.9705341100692749,641
5,56,49.67664301395416,0,0.8870829109634671,698
6,515,540.3533264398575,0,1.0492297600773932,1214
7,146,143.88991975784302,0,0.9855473956016645,1361
8,189,191.59660828113556,0,1.0137386681541565,1551
9,772,819.2207049131393,0,1.0611667162087297,2324
10,99,97.24159455299377,0,0.9822383288181189,2424
11,52,44.639338970184326,0,0.8584488263496985,2477
12,129,126.64387691020966,0,0.9817354799241058,2607
13,690,727.7364728450775,0,1.0546905403551847,3298
14,380,393.83514380455017,0,1.036408273169869,3679
15,961,1013.3544234037399,0,1.0544791086407284,4641
16,2252,2313.3246747255325,0,1.0272312054731494,6894
17,504,517.9690591096878,0,1.0277163871223964,7399
18,897,932.1396768093109,0,1.0391746675689084,8297
19,876,909.1633172035217,0,1.03785766804055,9174
20,1409,1460.5171476602554,0,1.0365629153018137,10584
21,1014,1052.7568628787994,0,1.038221758263116,11599
22,350,355.1862658262253,0,1.0148179023606436,11950
23,215,222.7521048784256,0,1.036056301760119,12166
24,1848,1928.8442301750183,0,1.0437468778003345,14015
25,1218,1265.9080004692078,0,1.0393333337185613,15234
26,933,972.7099498510361,0,1.0425615754030397,16168
27,567,597.4491193294525,0,1.0537021504928616,16736
28,264,274.6689772605896,0,1.0404127926537485,17001
29,3000,3107.206153035164,107.20615303516388,1.0357353843450545,20002
30,1404,1455.8209702968597,0,1.0369095230034613,21407
31,787,822.640745639801,0,1.0452868432526061,22195
32,654,680.0080473423004,0,1.0397676564866978,22850
33,3000,3136.6957268714905,136.69572687149048,1.0455652422904969,25851
34,476,489.37996113300323,0,1.0281091620441245,26328
35,1581,1643.3973866701126,0,1.0394670377420068,27910
36,3000,3118.080107688904,118.08010768890381,1.0393600358963013,30911
37,674,698.9270629882812,0,1.0369837729796458,31586
38,2276,2374.7695738077164,0,1.0433961220596293,33863
39,3000,3106.560029387474,106.56002938747406,1.0355200097958246,36864
40,2297,2355.1302869319916,0,1.025307046988242,39162
41,3000,3124.5939161777496,124.59391617774963,1.0415313053925832,42163
42,3000,3126.4402940273285,126.44029402732849,1.0421467646757763,45164
43,201,200.89152657985687,0,0.999460331243069,45366
44,1054,1106.350690484047,0,1.0496685867970086,46421
45,488,509.5629688501358,0,1.0441864115781472,46910
46,337,350.2097281217575,0,1.0391980062960164,47248
47,1434,1512.8704190254211,0,1.0550002922074067,48683
48,1557,1645.0244952440262,0,1.0565346790263495,50241
49,1759,1848.509727716446,0,1.050886712743858,52001
50,705,730.9257470369339,0,1.0367741092722467,52707
51,1585,1641.8751734495163,0,1.0358833901889692,54293
52,1098,1138.7722685337067,0,1.0371332136008258,55392
53,829,875.3459913730621,0,1.0559059003293874,56222
54,839,882.421599149704,0,1.0517539918351657,57062
55,510,532.1317027807236,0,1.0433954956484777,57573
56,1632,1710.0720354318619,0,1.0478382570048173,59206
57,2558,2690.715759396553,0,1.051882626816479,61765
58,890,931.0199104547501,0,1.046089787027809,62656
59,329,343.82943546772003,0,1.0450742719383588,62986
60,262,274.4911788702011,0,1.0476762552297751,63249
61,2485,2587.9033365249634,0,1.0414097933702067,65735
62,1589,1692.151283621788,0,1.0649158487235921,67325
63,580,614.8599495887756,0,1.060103361359958,67906
64,699,731.344892501831,0,1.0462730937079128,68606
65,312,327.27331149578094,0,1.0489529214608364,68919
66,1009,1056.8242462873459,0,1.0473976672818095,69929
67,327,345.1452201604843,0,1.055489969909738,70257
68,2715,2877.362701654434,0,1.0598021000568818,72973
69,502,535.2917212247849,0,1.0663181697704878,73476
70,3000,3153.0801590681076,153.0801590681076,1.0510267196893692,76477
71,1075,1124.7356034517288,0,1.0462656776295152,77553
72,872,907.8653399944305,0,1.0411299770578333,78426
73,377,396.05408918857574,0,1.050541350632827,78804
74,227,234.53771924972534,0,1.033205811672799,79032
75,3000,3141.457786679268,141.45778667926788,1.047152595559756,82033
76,1607,1681.044702410698,0,1.0460763549537635,83641
77,397,413.1198606491089,0,1.0406041829952364,84039
78,3000,3140.454431295395,140.4544312953949,1.0468181437651316,87040
79,3000,3140.6961286067963,140.69612860679626,1.0468987095355988,90041
80,2001,2081.474705338478,0,1.0402172440472155,92043
81,501,521.0876787900925,0,1.0400951672456935,92545
82,2859,2982.7845512628555,0,1.0432964502493374,95405
83,367,374.4931631088257,0,1.0204173381711872,95773
84,3000,3139.1271862983704,139.12718629837036,1.0463757287661235,98774
85,855,888.1450778245926,0,1.0387661728942603,99630
