episode,ticks,acum_reward,capped_acum_reward,avg_reward,total_ticks
0,137,132.5983783006668,0,0.967871374457422,137
1,164,161.42419958114624,0,0.984293899885038,302
2,63,52.962329387664795,0,0.8406718950422983,366
3,54,44.04602265357971,0,0.815667086177402,421
4,94,86.37312054634094,0,0.9188629845355419,516
5,65,57.83976709842682,0,0.8898425707450279,582
6,65,57.84931826591492,0,0.8899895117833064,648
7,62,55.380313992500305,0,0.8932308708467791,711
8,62,52.72890377044678,0,0.8504661898459157,774
9,61,54.96603310108185,0,0.9010825098538008,836
10,71,64.90017914772034,0,0.9140870302495822,908
11,62,53.094032645225525,0,0.856355365245573,971
12,67,57.857147455215454,0,0.8635395142569471,1039
13,59,49.173081278800964,0,0.8334420555728977,1099
14,51,41.448397755622864,0,0.8127136814828012,1151
15,54,45.76931035518646,0,0.8475798213923419,1206
16,52,46.098013520240784,0,0.8865002600046304,1259
17,53,46.40066397190094,0,0.8754842258849234,1313
18,58,50.55860233306885,0,0.871700040225325,1372
19,50,44.44180905818939,0,0.8888361811637878,1423
20,47,40.98283112049103,0,0.8719751302232134,1471
21,48,41.855427503585815,0,0.8719880729913712,1520
22,43,36.682127475738525,0,0.8530727319939192,1564
23,46,39.648369908332825,0,0.8619210849637571,1611
24,43,36.422276973724365,0,0.8470296970633573,1655
25,46,39.98976182937622,0,0.8693426484647004,1702
26,245,257.0537611246109,0,1.0491990249984118,1948
27,67,59.75373721122742,0,0.8918468240481704,2016
28,82,74.4468560218811,0,0.9078884880717207,2099
29,64,56.0795738697052,0,0.8762433417141438,2164
30,50,42.66803443431854,0,0.8533606886863708,2215
31,50,42.836843729019165,0,0.8567368745803833,2266
32,149,151.85183191299438,0,1.0191398114966066,2416
33,41,33.8944206237793,0,0.8266931859458365,2458
34,45,38.554781794548035,0,0.8567729287677341,2504
35,43,36.39779317378998,0,0.8464603063672088,2548
36,45,37.96239626407623,0,0.8436088058683607,2594
37,134,136.03334867954254,0,1.0151742438771831,2729
38,57,52.211477279663086,0,0.9159908294677734,2787
39,49,43.05101525783539,0,0.8785921481190896,2837
40,48,42.35386121273041,0,0.8823721085985502,2886
41,45,39.12903821468353,0,0.869534182548523,2932
42,45,38.952017426490784,0,0.8656003872553507,2978
43,42,35.6132287979126,0,0.847934018997919,3021
44,46,39.99041426181793,0,0.8693568317786508,3068
45,47,40.97955048084259,0,0.8719053293796296,3116
46,47,40.87374460697174,0,0.8696541405738668,3164
47,53,47.77754294872284,0,0.9014630745042045,3218
48,48,42.16787934303284,0,0.8784974863131841,3267
49,63,58.30343019962311,0,0.9254512730098906,3331
50,78,69.19922173023224,0,0.8871695093619518,3410
51,80,76.64766752719879,0,0.9580958440899849,3491
52,86,81.26810348033905,0,0.9449779474458029,3578
53,77,71.18368899822235,0,0.9244634934834072,3656
54,114,107.05975246429443,0,0.9391206356517056,3771
55,92,85.1610780954361,0,0.9256638923416967,3864
56,96,88.9684624671936,0,0.9267548173666,3961
57,65,57.688069105148315,0,0.8875087554638202,4027
58,53,44.512474060058594,0,0.839858001133181,4081
59,76,68.46316051483154,0,0.9008310594056782,4158
60,67,59.41700339317322,0,0.8868209461667644,4226
61,62,54.62016248703003,0,0.8809703626940327,4289
62,62,55.05889296531677,0,0.8880466607309156,4352
63,98,96.5126085281372,0,0.9848225360014,4451
64,51,43.91593527793884,0,0.8610967701556635,4503
65,47,40.52212905883789,0,0.8621729586986785,4551
66,64,57.336510181427,0,0.8958829715847969,4616
67,79,76.00711214542389,0,0.9621153436129606,4696
68,152,152.7306535243988,0,1.004806931081571,4849
69,77,69.4893010854721,0,0.9024584556554819,4927
70,183,184.9089537858963,0,1.0104314414529854,5111
71,43,33.07555961608887,0,0.769199060839276,5155
72,53,44.34455871582031,0,0.8366897870909493,5209
73,41,30.638994932174683,0,0.7472925593213338,5251
74,53,43.056615710258484,0,0.8123889756652544,5305
75,66,61.97018337249756,0,0.9389421723105691,5372
76,144,136.4047884941101,0,0.9472554756535424,5517
77,97,84.51476538181305,0,0.871286241049619,5615
78,63,51.476325035095215,0,0.8170845243665907,5679
79,45,33.68034017086029,0,0.7484520037968954,5725
80,42,30.85738432407379,0,0.7346996267636617,5768
81,42,30.73822796344757,0,0.7318625705582755,5811
82,41,29.67823326587677,0,0.7238593479482139,5853
83,42,30.76223313808441,0,0.7324341223353431,5896
84,43,32.03915810585022,0,0.7450967001360517,5940
85,43,31.983550667762756,0,0.7438035039014594,5984
86,45,34.312756299972534,0,0.7625056955549452,6030
87,43,32.127694606781006,0,0.7471556885297909,6074
88,43,32.143752694129944,0,0.7475291324216266,6118
89,44,33.09217417240143,0,0.7520948675545779,6163
90,44,33.26051914691925,0,0.7559208897027102,6208
91,45,34.215434432029724,0,0.7603429873784383,6254
92,46,35.523444414138794,0,0.7722487916117129,6301
93,53,43.10229778289795,0,0.8132509015641123,6355
94,46,35.37202763557434,0,0.7689571225124857,6402
95,58,48.674997329711914,0,0.8392240918915848,6461
96,57,47.7152214050293,0,0.8371091474566543,6519
97,71,62.87014162540436,0,0.8854949524704839,6591
