episode,ticks,epsilon,loss,acum_reward,avg_reward,total_ticks
0,100,0.9521694616616301,815.008912309467,80.31243195002999,0.8031243195002999,100
1,60,0.9249463838986807,1387.069842232267,50.655650142666666,0.8442608357111111,160
2,77,0.8908948386988933,1238.3246083646868,63.35756670133332,0.8228255415757574,237
3,80,0.8568103861658064,1240.302233547275,69.6273836068333,0.8703422950854163,317
4,107,0.8129775632802202,910.4879752121143,73.77314418116666,0.689468637207165,424
5,77,0.783048107125406,1005.9273512956732,63.19005247626667,0.8206500321593074,501
6,76,0.7545977912775831,774.5670393110455,52.99774095886672,0.6973386968271937,577
7,67,0.7304616655455853,850.9257872660659,51.660883762659985,0.7710579666068654,644
8,59,0.7099323085571124,579.2036956449518,40.61751307303334,0.6884324249666667,703
9,63,0.6886009963930515,353.7670614565501,55.4331261918867,0.8798908919347095,766
10,38,0.6763140210655568,594.2526804661917,27.30637029303334,0.71858869192193,804
11,59,0.657306463749877,354.4966624831244,42.53958510479999,0.7210099170305083,863
12,107,0.6236798898050508,224.67495611301572,65.76220835497901,0.6146000780839159,970
13,55,0.6073654155152287,399.16285986710045,40.42143205367667,0.7349351282486667,1025
14,92,0.5806332734457902,107.84135692876289,78.08826594346331,0.8487854993854708,1117
15,47,0.5677117070150417,218.22848827435456,36.52683925636666,0.7771667926886523,1164
16,79,0.5462649440631737,85.2797385223916,69.01197598563333,0.8735693162738396,1243
17,57,0.5314436791393312,75.1952923208358,45.935904015099986,0.8058930528964909,1300
18,104,0.5050131517695162,49.70987402424977,85.58619040106666,0.8229441384717948,1404
19,72,0.4876391663457515,47.388858667705215,59.886866662390005,0.831762036977639,1476
20,46,0.4770256281831953,71.63347381826885,35.129318020300005,0.763680826528261,1522
21,43,0.4673437604307052,65.8294220379348,30.907388866,0.718776485255814,1565
22,50,0.4562582963821671,61.582663542415915,37.693541625333346,0.7538708325066669,1615
23,53,0.44476796155183623,65.35214800359945,36.34292524593335,0.6857155706779877,1668
24,51,0.43400088983721985,30.019209724147895,35.14716050150001,0.6891600098333336,1719
25,63,0.4209604797178188,20.286439724747897,52.56303854653332,0.8343339451830686,1782
26,111,0.39862667502508137,13.5010881071784,90.92072687499997,0.8191056475225222,1893
27,71,0.3851052599749349,9.310312759731731,54.63272321681999,0.7694749748847886,1964
28,69,0.3724148129726321,7.721432135703906,60.023687439475985,0.869908513615594,2033
29,52,0.3632175876043783,11.221877369736411,41.79780190470001,0.8038038827826924,2085
30,63,0.3523040009831225,6.353797315390982,51.36613139437,0.815335418958254,2148
31,59,0.3424026263514396,3.217725990504131,49.00134707383332,0.830531306336158,2207
32,53,0.33377961422265356,3.031328374940371,41.90340744866668,0.790630329220126,2260
33,40,0.3274961128836704,2.207214566715993,30.808217203,0.7702054300750001,2300
34,41,0.3211702348916586,5.2940487041629325,31.458988520066672,0.7672924029284555,2341
35,62,0.3116758816019705,4.93189963007931,52.29131751336667,0.8434083469897851,2403
36,52,0.3039786761603784,6.659639535804252,42.38129477346667,0.8150248994897437,2455
37,66,0.29440299265431086,5.129717602700663,49.696191801623335,0.752972603054899,2521
38,83,0.282715028446837,6.49880974186151,65.20959051396666,0.7856577170357429,2604
39,51,0.2758709811025408,4.828889546492349,41.22778264756667,0.8083878950503268,2655
40,77,0.26571489708961893,3.33803789138447,64.0928494654,0.8323746683818181,2732
41,54,0.2588936646907541,3.3806507808677555,42.8305766154,0.7931588262111111,2786
42,84,0.248491133032619,2.5410765267617883,71.61079218613334,0.8525094307873017,2870
43,97,0.23696093207439003,2.5548112537752523,78.78148525587329,0.8121802603698277,2967
