episode,ticks,acum_reward,capped_acum_reward,avg_reward,total_ticks
0,34,5.587988656593694,0,0.16435260754687336,34
1,30,9.415331001000276,0,0.3138443667000092,65
2,24,-0.8280367241965436,0,-0.034501530174855986,90
3,28,2.5933224391606107,0,0.09261865854145038,119
4,27,-2.8793908177150556,0,-0.10664410435981687,147
5,25,1.2959094912641618,0,0.05183637965056647,173
6,16,-14.21073546210925,0,-0.8881709663818281,190
7,102,80.85392293160163,0,0.7926855189372709,293
8,99,83.06318619888688,0,0.8390220828170392,393
9,21,-0.18515874213642292,0,-0.008817082958877282,415
10,23,1.2101635968519595,0,0.05261580855878085,439
11,55,33.82481927358442,0,0.6149967140651712,495
12,16,-6.586447270462907,0,-0.4116529544039317,512
13,45,16.389971571581242,0,0.36422159047958313,558
14,20,-4.099370751695501,0,-0.20496853758477504,579
15,27,1.3803282419840528,0,0.05112326822163159,607
16,31,3.6786523434850906,0,0.1186662046285513,639
17,18,-3.1406170915398324,0,-0.17447872730776848,658
18,63,37.705481644471504,0,0.5984997086424049,722
19,42,17.35638611283569,0,0.41324728840084973,765
20,15,-9.924199666248429,0,-0.6616133110832286,781
21,47,19.744563904570207,0,0.4200971043525576,829
22,40,13.094557359649073,0,0.3273639339912268,870
23,21,0.7379972320463928,0,0.03514272533554251,892
24,23,2.536543876760536,0,0.11028451638089287,916
25,26,5.7459968017207235,0,0.2209998769892586,943
26,20,0.027490226096574588,0,0.0013745113048287295,964
