episode,ticks,epsilon,loss,total_ticks
55,63,0.411688307216046,60812489.61904762,4537
56,53,0.4073470264578746,59872456.75471698,4590
57,53,0.4030515247959052,55572454.26415094,4643
58,59,0.39832299712011315,52171088.915254235,4702
59,44,0.3948327851709276,51942418.72727273,4746
60,84,0.38825435010868226,48533711.0,4830
61,47,0.3846214970820168,45993015.65957447,4877
62,41,0.3814801836527566,43778420.92682927,4918
63,46,0.3779863130152374,40676100.60869565,4964
64,41,0.3748991910260623,39426440.24390244,5005
65,37,0.3721349010627491,39048880.91891892,5042
66,38,0.36931711517734106,37326634.421052635,5080
67,42,0.36622753683925446,37016005.71428572,5122
68,63,0.36164156357238075,38091824.984126985,5185
69,39,0.35883145203964895,35577033.84615385,5224
70,40,0.35597196765499195,35203512.95,5264
71,47,0.35264117731164746,33644867.02127659,5311
72,50,0.34913198979178534,31909974.16,5361
73,117,0.3410563471830605,29691984.5982906,5478
74,69,0.33638163183562997,27188361.188405797,5547
75,86,0.3306447724994438,25528938.51162791,5633
76,64,0.32643907273336414,24019857.9375,5697
77,64,0.3222868681742062,22662753.71875,5761
78,80,0.31717080432392675,22435817.075,5841
79,199,0.30479409892411535,21230807.175879396,6040
80,129,0.297030219503263,18892529.899224807,6169
81,90,0.29173098184267204,17702923.266666666,6259
82,48,0.28894348704331524,17077132.875,6307
83,69,0.2849830606663316,16977783.695652176,6376
84,91,0.27984277343264113,16326260.868131869,6467
85,118,0.2733151600304605,16053762.940677967,6585
86,79,0.26903029160946934,15760988.088607594,6664
87,96,0.26391367504805924,15778547.916666666,6760
88,80,0.25972424213645223,15695709.4625,6840
89,100,0.25458084833764927,15651658.67,6940
90,174,0.24587296012281493,15043387.27586207,7114
91,138,0.239178998643159,14236497.695652174,7252
92,85,0.23514692220990815,14051151.376470588,7337
93,40,0.23327306486452395,13714380.8,7377
94,44,0.23122906428132936,13673292.272727273,7421
95,36,0.22957002880488467,14550774.638888888,7457
96,35,0.2279684903688581,14063685.885714285,7492
97,53,0.22556454737761764,14551049.0,7545
98,37,0.22390136476927777,13581676.013513513,7582
99,82,0.22025896743935616,13281021.146341464,7664
100,43,0.21837267437097818,13169812.697674418,7707
101,56,0.2159403038765037,12842099.625,7763
102,63,0.2132362569078757,12728973.682539683,7826
103,49,0.21115654086654287,12398753.714285715,7875
104,49,0.20909710851840227,12548039.489795918,7924
105,40,0.20743083898353654,12869100.65,7964
